TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,M1,M2,M3,M4,M5,M6,M7,M8,M9
2987000,0,86400,68.5,W,13926,,150.0,discover,142.0,credit,315.0,87.0,19.0,,,,T,T,T,M2,F,T,,,
2987001,0,86401,29.0,W,2755,404.0,150.0,mastercard,102.0,credit,325.0,87.0,,,gmail.com,,,,,M0,T,T,,,
2987002,0,86469,59.0,W,4663,490.0,150.0,visa,166.0,debit,330.0,87.0,287.0,,outlook.com,,T,T,T,M0,F,F,F,F,F
2987003,0,86499,50.0,W,18132,567.0,150.0,mastercard,117.0,debit,476.0,87.0,,,yahoo.com,,,,,M0,T,F,,,
2987004,0,86506,50.0,H,4497,514.0,150.0,mastercard,102.0,credit,420.0,87.0,,,gmail.com,,,,,,,,,,
2987005,0,86510,49.0,W,5937,555.0,150.0,visa,226.0,debit,272.0,87.0,36.0,,gmail.com,,T,T,T,M1,F,T,,,
2987006,0,86522,159.0,W,12308,360.0,150.0,visa,166.0,debit,126.0,87.0,0.0,,yahoo.com,,T,T,T,M0,F,F,T,T,T
2987007,0,86529,422.5,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,,,mail.com,,,,,M0,F,F,,,
2987008,0,86535,15.0,H,2803,100.0,150.0,visa,226.0,debit,337.0,87.0,,,anonymous.com,,,,,,,,,,
2987009,0,86536,117.0,W,17399,111.0,150.0,mastercard,224.0,debit,204.0,87.0,19.0,,yahoo.com,,T,T,T,M0,T,T,,,
2987010,0,86549,75.887,C,16496,352.0,117.0,mastercard,134.0,credit,,,,,gmail.com,gmail.com,,,,M0,,,,,
2987011,0,86555,16.495,C,4461,375.0,185.0,mastercard,224.0,debit,,,,30.0,hotmail.com,hotmail.com,,,,M0,,,,,
2987012,0,86564,50.0,W,3786,418.0,150.0,visa,226.0,debit,204.0,87.0,,,verizon.net,,,,,M1,F,F,,,
2987013,0,86585,40.0,W,12866,303.0,150.0,visa,226.0,debit,330.0,87.0,,,aol.com,,,,,,,F,,,
2987014,0,86596,10.5,W,11839,490.0,150.0,visa,226.0,debit,226.0,87.0,,,yahoo.com,,,,,M0,F,F,,,
2987015,0,86618,57.95,W,7055,555.0,150.0,visa,226.0,debit,315.0,87.0,3.0,,,,T,T,F,,,F,F,F,T
2987016,0,86620,30.0,H,1790,555.0,150.0,visa,226.0,debit,170.0,87.0,,,aol.com,,,,,,,,,,
2987017,0,86668,100.0,H,11492,111.0,150.0,mastercard,219.0,credit,204.0,87.0,,,yahoo.com,,,,,,,,,,
2987018,0,86725,47.95,W,4663,490.0,150.0,visa,166.0,debit,184.0,87.0,5.0,,gmail.com,,T,T,F,,,F,F,T,T
2987019,0,86730,186.0,W,7005,111.0,150.0,visa,226.0,debit,264.0,87.0,,,gmail.com,,,,,M1,F,F,,,
2987020,0,86761,39.0,W,7875,314.0,150.0,mastercard,224.0,debit,299.0,87.0,0.0,,gmail.com,,T,T,T,M0,F,F,F,F,T
2987021,0,86769,159.95,W,11401,543.0,150.0,mastercard,117.0,debit,204.0,87.0,,,gmail.com,,,,,,,F,,,
2987022,0,86786,50.0,H,1724,583.0,150.0,visa,226.0,credit,299.0,87.0,,,gmail.com,,,,,,,,,,
2987023,0,86808,107.95,W,2392,360.0,150.0,mastercard,166.0,debit,126.0,87.0,4.0,,gmail.com,,T,T,T,,,F,,,
2987024,0,86821,73.95,W,10112,360.0,150.0,visa,166.0,debit,264.0,87.0,,,gmail.com,,,,,,,F,,,
2987025,0,86944,107.95,W,15385,111.0,150.0,mastercard,224.0,debit,441.0,87.0,,,gmail.com,,,,,,,F,,,
2987026,0,86945,184.0,W,17868,148.0,150.0,visa,226.0,debit,472.0,87.0,,,me.com,,,,,M0,F,T,,,
2987027,0,86972,47.95,W,11307,321.0,150.0,visa,226.0,debit,337.0,87.0,17.0,,yahoo.com,,T,T,F,,,T,,,
2987028,0,86973,20.0,W,8431,269.0,150.0,mastercard,224.0,debit,251.0,87.0,,,,,,,,M1,T,F,,,
2987029,0,86979,36.99,W,12932,361.0,150.0,visa,226.0,debit,204.0,87.0,,,gmail.com,,,,,M0,T,F,,,
2987030,0,86994,35.0,W,13276,555.0,150.0,visa,226.0,debit,126.0,87.0,,,gmail.com,,,,,,,F,,,
2987031,0,86998,363.89,W,6573,583.0,150.0,visa,226.0,credit,315.0,87.0,13.0,,yahoo.com,,T,T,T,,,T,F,T,T
2987032,0,87008,200.0,W,7835,361.0,150.0,visa,226.0,debit,472.0,87.0,,,yahoo.com,,,,,M0,T,T,,,
